Total Parameters: 326208
Epoch: 037, Loss: 0.5016, Val: 0.9305, Test: 0.9321, Train A/P/R: 0.8366/1.0000/0.8366, Test A/P/R: 0.8666/0.9098/0.8138
Epoch: 038, Loss: 0.5013, Val: 0.9311, Test: 0.9327, Train A/P/R: 0.8481/1.0000/0.8481, Test A/P/R: 0.8687/0.9041/0.8249
Epoch: 039, Loss: 0.5014, Val: 0.9254, Test: 0.9273, Train A/P/R: 0.8069/1.0000/0.8069, Test A/P/R: 0.8599/0.9226/0.7856
Epoch: 040, Loss: 0.4997, Val: 0.9196, Test: 0.9214, Train A/P/R: 0.7785/1.0000/0.7785, Test A/P/R: 0.8520/0.9321/0.7594
Epoch: 041, Loss: 0.5007, Val: 0.9233, Test: 0.9250, Train A/P/R: 0.8089/1.0000/0.8089, Test A/P/R: 0.8605/0.9216/0.7880
Epoch: 042, Loss: 0.4987, Val: 0.9273, Test: 0.9291, Train A/P/R: 0.8463/1.0000/0.8463, Test A/P/R: 0.8680/0.9044/0.8229
Epoch: 043, Loss: 0.4993, Val: 0.9247, Test: 0.9265, Train A/P/R: 0.8346/1.0000/0.8346, Test A/P/R: 0.8658/0.9098/0.8121
Epoch: 044, Loss: 0.4986, Val: 0.9170, Test: 0.9189, Train A/P/R: 0.7966/1.0000/0.7966, Test A/P/R: 0.8566/0.9254/0.7757
Epoch: 045, Loss: 0.4983, Val: 0.9174, Test: 0.9193, Train A/P/R: 0.8014/1.0000/0.8014, Test A/P/R: 0.8580/0.9239/0.7802
Epoch: 046, Loss: 0.4982, Val: 0.9239, Test: 0.9257, Train A/P/R: 0.8381/1.0000/0.8381, Test A/P/R: 0.8665/0.9086/0.8151
Epoch: 047, Loss: 0.4978, Val: 0.9252, Test: 0.9270, Train A/P/R: 0.8446/1.0000/0.8446, Test A/P/R: 0.8676/0.9055/0.8210
Epoch: 048, Loss: 0.4978, Val: 0.9207, Test: 0.9226, Train A/P/R: 0.8145/1.0000/0.8145, Test A/P/R: 0.8616/0.9193/0.7929
Epoch: 049, Loss: 0.4969, Val: 0.9193, Test: 0.9214, Train A/P/R: 0.8045/1.0000/0.8045, Test A/P/R: 0.8592/0.9237/0.7832
Epoch: 050, Loss: 0.4972, Val: 0.9244, Test: 0.9263, Train A/P/R: 0.8331/1.0000/0.8331, Test A/P/R: 0.8658/0.9118/0.8100
Epoch: 051, Loss: 0.4959, Val: 0.9268, Test: 0.9285, Train A/P/R: 0.8499/1.0000/0.8499, Test A/P/R: 0.8687/0.9034/0.8258
